Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Event Name,Location,Origin,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,Total Affected,Insured Damages ('000 US$),Total Damages ('000 US$)
,Natural,Hydrological,Flood,Flash flood,,"Adilabad, Hyderabad, Karimnagar, Khammam, Mahbubnagar, Medak, Nalgonda, Nizamabad, Rangareddi, Warangal, Srikakulam, Krishna districts (Andhra Pradesh province)",Heavy rain,190900,Km2,17.43,82.81,,2006,4,15,2006,4,18,20,,,,,
,Natural,Hydrological,Flood,Flash flood,,Madhya Pradesh province,,,Km2,,,,2006,10,1,2006,10,1,39,,,,,
,Natural,Hydrological,Flood,Riverine flood,,"Assam, Tripura provinces",Monsoonal rain,47020,Km2,26.6,94.02,,2006,5,31,2006,7,24,21,,504000,504000,,
,Natural,Hydrological,Flood,Riverine flood,,Kerala province,Monsoonal rain,42690,Km2,10.54,76.05,,2006,5,25,2006,6,2,32,,10800,10800,,
,Natural,Hydrological,Flood,Riverine flood,,"Maharashtra, Gujarat provinces",Monsoonal rain,395400,Km2,18.73,75.23,,2006,5,31,2006,6,4,41,,,,,
,Natural,Hydrological,Flood,Riverine flood,,"Ballia, Chandauli districts (Uttar Pradesh province)",Monsoonal rain,13110,Km2,25.62,83.67,,2006,6,24,2006,6,27,130,,300000,300000,,
,Natural,Hydrological,Flood,Riverine flood,,"Navsari, The Dangs districts (Gujarat)",Heavy rain,170100,Km2,22.41,71.31,,2006,7,4,2006,7,7,24,,8400,8400,,
,Natural,Hydrological,Flood,Riverine flood,,Jammu and Kashmir provinces,Monsoonal rain,,Km2,34.61,73.2,,2006,7,24,2006,8,22,15,,800,800,,
,Natural,Hydrological,Flood,Riverine flood,,Gujarat province,Monsoonal rain,,Km2,,,,2006,8,,2006,8,,,,50000,50000,,
,Natural,Hydrological,Flood,Riverine flood,,"Barmer, Jaisalmer, Kota, Udaipur districts (Rajasthan province)",Monsoonal rain,,Km2,,,,2006,8,18,2006,9,2,135,,20000,20000,,
,Natural,Hydrological,Flood,Riverine flood,,"Balrampur, Bahraich, Lakhimpur Kheri, Shravasti, Gonda, Bara Banki districts (Uttar Pradesh province)",Monsoonal rain,32700,Km2,27.59,81.52,,2006,8,29,2006,9,4,42,,100000,100000,,
,Natural,Hydrological,Flood,Riverine flood,,"Tamil Nadu, Andhra Pradesh provinces",Monsoonal rain and Cyclonic storm Ogni,40090,Km2,14.13,79.93,,2006,10,26,2006,11,4,47,,225000,225000,,
,Natural,Hydrological,Flood,Riverine flood,,"Orissa, Andhra Pradesh, Chhattisgarh provinces",Monsoonal rain,302800,Km2,18.1,81.53,,2006,8,1,2006,9,10,185,,2000000,2000000,,
,Natural,Hydrological,Flood,Riverine flood,,"Madhya Pradesh, Maharashtra, Rajasthan provinces",Heavy rains and hailstorms,,Km2,,,,2006,3,9,2006,3,10,61,113,,113,,
,Natural,Meteorological,Extreme temperature ,Heat wave,,"Uttar Pradesh, Orissa, Punjab, Delhi provinces",,,Â°C,,,,2006,5,,2006,5,,47,,,,,
,Natural,Meteorological,Extreme temperature ,Cold wave,,Jammu and Kashmir province,,,Â°C,,,,2007,3,11,2007,3,14,66,25,,25,,
,Natural,Hydrological,Flood,Flash flood,,"Kurnool, Mahbubnagar, Guntur, Prakasam, East Godavari, West Godavari, Anantapur, Cuddapah districts (Andhra Pradesh province), Thrissur district (Kerala province), Belgaum, Bijapur, Bagalkot, Kodagu, Hassan, Mysore districts (Karnataka province), Mumbai City, Pune districts (Maharashtra province)",Monsoonal rain and tropical cyclone,449300,Km2,14.94,78.16,,2007,6,22,2007,7,4,127,,200000,200000,,
,Natural,Hydrological,Flood,Riverine flood,,Himachal Pradesh province,Heavy rains,191400,Km2,31.24,76.53,,2007,8,12,2007,8,17,76,,15000,15000,,
,Natural,Hydrological,Flood,Coastal flood,,"Baleshwar, Kendrapara, Bhadrak, Jagatsinghpur, Jajpur, Mayurbhanj, Khordha, Cuttack, Puri, Kandhamal districts (Orissa province), Kolkata, South 24 Parganas, East Midnapore, West Midnapore, Hughli districts (West Bengal province)",Tropical depression in Bay of Bengal,72010,Km2,20.91,86.4,,2007,9,22,2007,10,3,80,,7200000,7200000,,275000
,Natural,Hydrological,Flood,Riverine flood,,"Lakhimpur, Dhemaji, Cachar, Karimganj, Hailakandi, Darrang, Dibrugarh districts (Assam province)",Monsoonal rain,74890,Km2,26.26,94.02,,2007,6,18,2007,6,26,15,,200000,200000,,
,Natural,Hydrological,Flood,Riverine flood,,"Junagadh district (Daman and Diu province), Amreli, Bhavnagar, Jamnagar, Junagadh, Porbandar, Rajkot, Surendranagar districts (Gujarat province), Rajasthan, Madhya Pradesh",Monsoonal rain,61700,Km2,22.02,72.25,,2007,7,1,2007,7,13,225,,63000,63000,,
,Natural,Hydrological,Flood,Riverine flood,,"Amravati, Mumbai City, Mumbai Suburban, Raigarh, Ratnagiri, Sindhudurg, Thane districts (Maharashtra province)",Monsoonal rain,106600,Km2,21.03,77.52,,2007,7,1,2007,7,6,62,,10000,10000,,
,Natural,Hydrological,Flood,Riverine flood,,"Raipur, Bilaspur, Mahasamund, Durg districts (Chhattisgarh province)",Monsoonal rain,74000,Km2,20.05,81.86,,2007,6,30,2007,7,13,29,,50000,50000,,
,Natural,Hydrological,Flood,Riverine flood,,"Udaipur, Amarpur cities (South Tripura district, Tripura province), Sonamura citiy (West Tripura district, Tripura province)",Monsoonal rain,,Km2,23.92,91.23,,2007,7,21,2007,8,3,,,,,,
FL-2007-000096,Natural,Hydrological,Flood,Riverine flood,,"Bihar, Uttar Pradesh, Assam, Orissa, West Bengal provinces",Monsoonal rain,483900,Km2,22.63,88.49,,2007,7,3,2007,9,22,1103,,18700000,18700000,,
,Natural,Hydrological,Flood,Riverine flood,,Gujarat province,Monsoonal rain,133800,Km2,22.68,70.93,,2007,8,8,2007,8,15,16,,,,,
,Natural,Hydrological,Flood,Riverine flood,,"Kurnool, Cuddapah, Warangal, Nalgonda, Karimnagar, Mahbubnagar, Anantapur, Nellore, Krishna districts (Andhra Pradesh province), Gadag district (Karnataka province)",Monsoonal rain,90280,Km2,15.71,79.88,,2007,9,16,2007,10,7,94,,20000,20000,,
,Natural,Hydrological,Flood,Riverine flood,,"Andhra Pradesh, Tamil Nadu province",Heavy rain,76740,Km2,12.73,79.7,,2007,10,27,2007,11,1,29,,50000,50000,,
,Natural,Hydrological,Flood,Riverine flood,,"Cuttack, Puri, Khordha, Jajpur, Jagatsinghpur districts (Orissa province)",Monsoonal rain,15360,Km2,20.45,86.2,,2007,8,3,2007,8,27,15,,500000,500000,,
,Natural,Hydrological,Flood,Riverine flood,,"Assam, Arunachal Pradesh, Meghalaya, Manipur provinces",Monsoonal rain,103600,Km2,27.58,95.26,,2007,7,12,2007,10,10,96,,11100000,11100000,,
,Natural,Hydrological,Flood,Riverine flood,,Kerala province,Monsoonal rain,21120,Km2,10.39,76.31,,2007,7,16,2007,7,20,44,,35000,35000,,101151
TC-2007-000208,Natural,Meteorological,Storm,Tropical cyclone,Sidr,"West Bengal, Orissa provinces",,,Kph,,,,2007,11,15,2007,11,15,,,,,,
,Natural,Meteorological,Extreme temperature ,Cold wave,,"Uttar Pradesh, Jammu and Kashmir, Gujarat provinces",,2,Â°C,,,,2007,12,,2008,1,,47,,,,,
